lambda_config,deltaA_source,gate_type,tau,subset,subset_q,K_true_change,TP,FP,FN,Prec,Rec,F1,SHD,SHD_gain_vs_ungated,F1_delta_vs_ungated,mean_lambda_subset,mean_gate_weight_subset,real_TP,real_FP,real_FN,real_Prec,real_Rec,real_F1,real_SHD
"(50,3)",valdiff_on_base_cmiknn_topK6,hard,0.9,low,"high_q=0.90,low_q=0.50",6,4.0,2.0,2.0,0.6666666666665555,0.6666666666665555,0.6666666666660555,4.0,,0.0,0.1057664230465889,1.0,0,0,6,0.0,0.0,0.0,6
"(50,3)",valdiff_on_base_cmiknn_topK6,hard,0.9,all,"high_q=0.90,low_q=0.50",6,3.5543606116619055,1.7771803058309528,2.4456393883380945,0.6666666666665416,0.5923934352768855,0.6273393243758183,4.222819694169047,-0.222819694169047,-0.039327342290237155,0.34208929538726807,0.8885901529154764,0,0,6,0.0,0.0,0.0,6
"(50,3)",valdiff_on_base_cmiknn_topK6,soft,0.2,high,"high_q=0.90,low_q=0.50",6,0.0,0.0,6.0,0.0,0.0,0.0,6.0,-2.0,,1.0,0.0,0,0,6,0.0,0.0,0.0,6
"(50,3)",valdiff_on_base_cmiknn_topK6,soft,0.2,low,"high_q=0.90,low_q=0.50",6,3.576934576034546,1.788467288017273,2.423065423965454,0.6666666666665424,0.596155762672325,0.6294426926239614,4.211532711982727,,-0.0372239740420941,0.1057664230465889,0.8942336440086365,0,0,6,0.0,0.0,0.0,6
"(50,3)",valdiff_on_base_cmiknn_topK6,soft,0.2,all,"high_q=0.90,low_q=0.50",6,2.6316428184509277,1.3158214092254639,3.3683571815490723,0.6666666666664978,0.43860713640841487,0.5291082748759454,4.684178590774536,-0.6841785907745361,-0.1375583917901101,0.34208929538726807,0.6579107046127319,0,0,6,0.0,0.0,0.0,6
"(50,3)",valdiff_on_base_cmiknn_topK6,soft,0.3,high,"high_q=0.90,low_q=0.50",6,0.0,0.0,6.0,0.0,0.0,0.0,6.0,-2.0,,1.0,0.0,0,0,6,0.0,0.0,0.0,6
"(50,3)",valdiff_on_base_cmiknn_topK6,soft,0.3,low,"high_q=0.90,low_q=0.50",6,3.576934576034546,1.788467288017273,2.423065423965454,0.6666666666665424,0.596155762672325,0.6294426926239614,4.211532711982727,,-0.0372239740420941,0.1057664230465889,0.8942336440086365,0,0,6,0.0,0.0,0.0,6
"(50,3)",valdiff_on_base_cmiknn_topK6,soft,0.3,all,"high_q=0.90,low_q=0.50",6,2.6316428184509277,1.3158214092254639,3.3683571815490723,0.6666666666664978,0.43860713640841487,0.5291082748759454,4.684178590774536,-0.6841785907745361,-0.1375583917901101,0.34208929538726807,0.6579107046127319,0,0,6,0.0,0.0,0.0,6
"(50,3)",valdiff_on_base_cmiknn_topK6,soft,0.4,high,"high_q=0.90,low_q=0.50",6,0.0,0.0,6.0,0.0,0.0,0.0,6.0,-2.0,,1.0,0.0,0,0,6,0.0,0.0,0.0,6
"(50,3)",valdiff_on_base_cmiknn_topK6,soft,0.4,low,"high_q=0.90,low_q=0.50",6,3.576934576034546,1.788467288017273,2.423065423965454,0.6666666666665424,0.596155762672325,0.6294426926239614,4.211532711982727,,-0.0372239740420941,0.1057664230465889,0.8942336440086365,0,0,6,0.0,0.0,0.0,6
"(50,3)",valdiff_on_base_cmiknn_topK6,soft,0.4,all,"high_q=0.90,low_q=0.50",6,2.6316428184509277,1.3158214092254639,3.3683571815490723,0.6666666666664978,0.43860713640841487,0.5291082748759454,4.684178590774536,-0.6841785907745361,-0.1375583917901101,0.34208929538726807,0.6579107046127319,0,0,6,0.0,0.0,0.0,6
